date,hour,temp_c,condition,wind_mph,wind_dir,pressure_mb,precip_mm,humidity,uv
2022-04-12,00:00,14.9,Senin,16.1,W,1009.0,0.0,66,1.0
2022-04-12,01:00,14.3,Senin,15.2,W,1009.0,0.0,65,1.0
2022-04-12,02:00,14.2,Senin,10.3,W,1009.0,0.0,67,1.0
2022-04-12,03:00,14.4,Parial noros,4.9,W,1009.0,0.0,66,1.0
2022-04-12,04:00,14.5,Parial noros,1.6,NE,1010.0,0.0,60,1.0
2022-04-12,05:00,14.5,Senin,2.5,NNE,1010.0,0.0,56,1.0
2022-04-12,06:00,14.1,Senin,4.7,NNW,1012.0,0.0,52,1.0
2022-04-12,07:00,13.6,Soare,13.4,NW,1013.0,0.0,32,4.0
2022-04-12,08:00,14.2,Soare,15.4,NW,1013.0,0.0,24,4.0
2022-04-12,09:00,15.4,Soare,10.5,NNW,1014.0,0.0,25,5.0
2022-04-12,10:00,16.7,Soare,5.4,NNW,1015.0,0.0,26,5.0
2022-04-12,11:00,20.5,Soare,4.3,NW,1015.0,0.0,27,6.0
2022-04-12,12:00,20.9,Soare,7.4,WNW,1015.0,0.0,24,6.0
2022-04-12,13:00,21.4,Soare,9.8,W,1014.0,0.0,18,6.0
2022-04-12,14:00,23.7,Soare,12.5,WNW,1014.0,0.0,13,6.0
2022-04-12,15:00,24.1,Soare,18.6,WNW,1013.0,0.0,13,6.0
2022-04-12,16:00,24.7,Soare,23.0,WNW,1012.0,0.0,14,6.0
2022-04-12,17:00,24.2,Soare,23.7,WNW,1012.0,0.0,15,6.0
2022-04-12,18:00,23.4,Soare,21.9,WNW,1013.0,0.0,16,6.0
2022-04-12,19:00,22.5,Soare,18.3,WNW,1014.0,0.0,18,6.0
2022-04-12,20:00,18.9,Senin,14.8,NW,1014.0,0.0,17,1.0
2022-04-12,21:00,18.3,Senin,14.3,NNW,1015.0,0.0,15,1.0
2022-04-12,22:00,17.8,Senin,13.0,NNW,1015.0,0.0,15,1.0
2022-04-12,23:00,17.0,Senin,11.4,NNW,1015.0,0.0,16,1.0
2022-04-13,00:00,16.5,Senin,10.1,NNW,1015.0,0.0,16,1.0
2022-04-13,01:00,16.1,Senin,8.9,NNW,1015.0,0.0,17,1.0
2022-04-13,02:00,15.7,Senin,7.6,NNW,1015.0,0.0,18,1.0
2022-04-13,03:00,15.4,Senin,5.6,N,1015.0,0.0,21,1.0
2022-04-13,04:00,15.0,Senin,3.8,NE,1015.0,0.0,26,1.0
2022-04-13,05:00,14.6,Senin,2.2,E,1015.0,0.0,32,1.0
2022-04-13,06:00,14.4,Senin,1.3,E,1016.0,0.0,35,1.0
2022-04-13,07:00,14.5,Soare,1.1,ESE,1016.0,0.0,36,4.0
2022-04-13,08:00,15.2,Soare,3.4,ESE,1017.0,0.0,37,5.0
2022-04-13,09:00,16.3,Soare,3.4,ESE,1017.0,0.0,34,5.0
2022-04-13,10:00,17.4,Soare,2.2,ESE,1017.0,0.0,30,5.0
2022-04-13,11:00,21.3,Soare,2.9,SSW,1017.0,0.0,27,6.0
2022-04-13,12:00,21.5,Soare,5.8,SW,1016.0,0.0,25,6.0
2022-04-13,13:00,21.2,Soare,8.9,SW,1016.0,0.0,25,6.0
2022-04-13,14:00,21.1,Soare,10.1,SW,1015.0,0.0,26,6.0
2022-04-13,15:00,22.9,Soare,12.5,SW,1015.0,0.0,27,6.0
2022-04-13,16:00,19.5,Soare,12.1,SW,1015.0,0.0,29,5.0
2022-04-13,17:00,19.2,Soare,11.6,SW,1014.0,0.0,31,5.0
2022-04-13,18:00,19.3,Soare,10.5,WSW,1014.0,0.0,32,5.0
2022-04-13,19:00,19.0,Soare,9.8,WSW,1015.0,0.0,34,5.0
2022-04-13,20:00,17.1,Senin,8.3,SW,1015.0,0.0,38,1.0
2022-04-13,21:00,16.7,Senin,6.5,SSW,1015.0,0.0,43,1.0
2022-04-13,22:00,16.4,Senin,5.8,SSW,1015.0,0.0,48,1.0
2022-04-13,23:00,16.1,Senin,7.2,S,1015.0,0.0,51,1.0
