date,hour,temp_c,condition,wind_mph,wind_dir,pressure_mb,precip_mm,humidity,uv
2022-04-13,00:00,7.8,Senin,4.5,E,1023.0,0.0,62,1.0
2022-04-13,01:00,7.4,Senin,5.4,ENE,1023.0,0.0,62,1.0
2022-04-13,02:00,6.8,Senin,5.4,ENE,1022.0,0.0,63,1.0
2022-04-13,03:00,6.5,Senin,4.9,ENE,1022.0,0.0,63,1.0
2022-04-13,04:00,6.2,Senin,4.5,E,1023.0,0.0,63,1.0
2022-04-13,05:00,5.9,Parial noros,4.5,E,1023.0,0.0,62,1.0
2022-04-13,06:00,5.7,Parial noros,5.1,E,1023.0,0.0,61,1.0
2022-04-13,07:00,6.9,Soare,6.0,E,1024.0,0.0,58,3.0
2022-04-13,08:00,8.9,Soare,7.8,E,1024.0,0.0,49,3.0
2022-04-13,09:00,10.5,Soare,8.9,E,1024.0,0.0,43,4.0
2022-04-13,10:00,11.8,Soare,7.6,ESE,1024.0,0.0,40,4.0
2022-04-13,11:00,12.3,Soare,5.8,SE,1024.0,0.0,38,4.0
2022-04-13,12:00,13.2,Soare,4.5,SSE,1023.0,0.0,37,4.0
2022-04-13,13:00,14.1,Soare,3.8,SSW,1023.0,0.0,36,4.0
2022-04-13,14:00,14.5,Soare,4.5,SW,1022.0,0.0,35,4.0
2022-04-13,15:00,14.8,Soare,4.5,SW,1021.0,0.0,35,4.0
2022-04-13,16:00,14.6,Soare,5.4,WSW,1021.0,0.0,35,4.0
2022-04-13,17:00,14.6,Soare,5.4,SW,1020.0,0.0,37,4.0
2022-04-13,18:00,13.6,Soare,5.6,SW,1020.0,0.0,44,4.0
2022-04-13,19:00,12.2,Soare,5.1,SW,1020.0,0.0,46,4.0
2022-04-13,20:00,11.7,Senin,4.7,SSW,1021.0,0.0,48,1.0
2022-04-13,21:00,11.0,Senin,4.0,SSW,1021.0,0.0,50,1.0
2022-04-13,22:00,10.5,Senin,4.0,SSW,1021.0,0.0,51,1.0
2022-04-13,23:00,10.0,Senin,3.8,SSW,1021.0,0.0,52,1.0
2022-04-13,00:00,7.8,Senin,4.5,E,1023.0,0.0,62,1.0
2022-04-13,01:00,7.4,Senin,5.4,ENE,1023.0,0.0,62,1.0
2022-04-13,02:00,6.8,Senin,5.4,ENE,1022.0,0.0,63,1.0
2022-04-13,03:00,6.5,Senin,4.9,ENE,1022.0,0.0,63,1.0
2022-04-13,04:00,6.2,Senin,4.5,E,1023.0,0.0,63,1.0
2022-04-13,05:00,5.9,Parial noros,4.5,E,1023.0,0.0,62,1.0
2022-04-13,06:00,5.7,Parial noros,5.1,E,1023.0,0.0,61,1.0
2022-04-13,07:00,6.9,Soare,6.0,E,1024.0,0.0,58,3.0
2022-04-13,08:00,8.9,Soare,7.8,E,1024.0,0.0,49,3.0
2022-04-13,09:00,10.5,Soare,8.9,E,1024.0,0.0,43,4.0
2022-04-13,10:00,11.8,Soare,7.6,ESE,1024.0,0.0,40,4.0
2022-04-13,11:00,12.3,Soare,5.8,SE,1024.0,0.0,38,4.0
2022-04-13,12:00,13.2,Soare,4.5,SSE,1023.0,0.0,37,4.0
2022-04-13,13:00,14.1,Soare,3.8,SSW,1023.0,0.0,36,4.0
2022-04-13,14:00,14.5,Soare,4.5,SW,1022.0,0.0,35,4.0
2022-04-13,15:00,14.8,Soare,4.5,SW,1021.0,0.0,35,4.0
2022-04-13,16:00,14.6,Soare,5.4,WSW,1021.0,0.0,35,4.0
2022-04-13,17:00,14.6,Soare,5.4,SW,1020.0,0.0,37,4.0
2022-04-13,18:00,13.6,Soare,5.6,SW,1020.0,0.0,44,4.0
2022-04-13,19:00,12.2,Soare,5.1,SW,1020.0,0.0,46,4.0
2022-04-13,20:00,11.7,Senin,4.7,SSW,1021.0,0.0,48,1.0
2022-04-13,21:00,11.0,Senin,4.0,SSW,1021.0,0.0,50,1.0
2022-04-13,22:00,10.5,Senin,4.0,SSW,1021.0,0.0,51,1.0
2022-04-13,23:00,10.0,Senin,3.8,SSW,1021.0,0.0,52,1.0
